Sport,0
Aeronautics,0.0
Alpinism,0.0
Cricket,0.0
Basque Pelota,0.0
Motorboating,0.0
Art Competitions,0.014253773057574064
Triathlon,0.01890359168241966
Gymnastics,0.026921780806530123
Table Tennis,0.030690537084398978
Athletics,0.03355426677713339
Shooting,0.03555206149545772
Modern Pentathlon,0.03697078115682767
Cycling,0.03812505755594438
Badminton,0.04118050789293068
Swimming,0.04121577926277215
Archery,0.04198800342759212
Beach Volleyball,0.0425531914893617
Tennis,0.04472396925227114
Equestrianism,0.050283732660781844
Diving,0.05031667839549613
Fencing,0.05272473218444341
Weightlifting,0.05486410972821946
Sailing,0.05572426358943213
Canoeing,0.06303678496191865
Golf,0.06477732793522267
Wrestling,0.06541794800111826
Trampolining,0.06578947368421052
Rhythmic Gymnastics,0.0668693009118541
Judo,0.07208629308076822
Boxing,0.07292872498759716
Synchronized Swimming,0.07700770077007701
Basketball,0.07848324514991181
Football,0.08050407709414381
Rugby Sevens,0.08361204013377926
Jeu De Paume,0.09090909090909091
Rowing,0.09344030202925908
Water Polo,0.093603744149766
Hockey,0.09451726047627838
Volleyball,0.095475910693302
Handball,0.09631650750341064
Rugby,0.09876543209876543
Croquet,0.10526315789473684
Taekwondo,0.10561056105610561
Softball,0.12343096234309624
Baseball,0.12527964205816555
Ice Hockey,0.13333333333333333
Figure Skating,0.16666666666666666
Tug-Of-War,0.17058823529411765
Lacrosse,0.2
Polo,0.21052631578947367
Roque,0.25
Racquets,0.3333333333333333
