NbPriorParticipation,0
25,0.0
27,0.0
28,0.0
29,0.0
21,0.0
52,0.0
31,0.0
32,0.0
18,0.0
22,0.0
19,0.0
57,0.0
11,0.02631578947368421
8,0.029541595925297114
15,0.03067484662576687
16,0.04085603112840467
14,0.0425531914893617
10,0.044642857142857144
0,0.047143618537661594
12,0.047619047619047616
6,0.050261780104712044
23,0.05263157894736842
7,0.05450733752620545
13,0.056
4,0.06320299946438136
5,0.0638182801514332
3,0.06436233611442194
2,0.06439640578200287
1,0.0678450138931769
9,0.08290155440414508
20,0.14285714285714285
17,0.14285714285714285
24,0.21428571428571427
